policy_id,state,county,latitude,longitude,property_value,property_age,building_type,RISK_SCORE,current_annual_premium,coverage_amount,deductible,policy_start_year,num_claims_5yr,total_claim_amount_5yr,Year,policy_age,Risk_Category,Premium_Category,has_claim,Claim_Status,coverage_ratio,Loss_Ratio
POL-0000001,Rhode Island,Kent,5111976.087785056,-7969909.21485997,70407.0,11,Commercial,69.4338422392,1271,62640725,2500,2019,0,0,2024,5,High,< $1.5K,0,No Claim,889.6945616202935,0.0
POL-0000002,Iowa,Calhoun,5218893.111776856,-10535327.366191432,173534.0,70,Single_Family,44.5610687023,806,142554097,2500,2019,0,0,2024,5,Moderate,< $1.5K,0,No Claim,821.4764657070084,0.0
POL-0000003,Kansas,Ottawa,4740707.17651637,-10870374.205172526,606401.0,40,Single_Family,16.8893129771,2193,575038485,2500,2016,0,0,2024,8,Very Low,$1.5K-$2.5K,0,No Claim,948.2808982834791,0.0
POL-0000004,Oklahoma,Alfalfa,4401742.634098342,-10945377.96042049,215413.0,50,Single_Family,40.6488549618,2213,194028378,5000,2018,0,0,2024,6,Moderate,$1.5K-$2.5K,0,No Claim,900.7273377187078,0.0
POL-0000005,South Dakota,Haakon,5511148.813165583,-11303437.168656046,208431.0,7,Single_Family,9.73282442748,961,173188268,2500,2020,0,0,2024,4,Very Low,< $1.5K,0,No Claim,830.9141538446776,0.0
POL-0000006,Missouri,Reynolds,4489795.858476308,-10126643.365478108,128450.0,62,Multi_Family,63.8676844784,1900,116226288,10000,2020,0,0,2024,4,High,$1.5K-$2.5K,0,No Claim,904.8368080965356,0.0
POL-0000007,Texas,Matagorda,3358922.97897493,-10684977.896469325,221537.0,50,Single_Family,80.3435114504,2672,189317688,500,2019,0,0,2024,5,Very High,$2.5K-$3.5K,0,No Claim,854.5646460862068,0.0
POL-0000008,Mississippi,Stone,3605511.431125824,-9920538.579924297,157566.0,11,Single_Family,52.0038167939,1961,148046767,1000,2021,0,0,2024,3,Moderate,$1.5K-$2.5K,0,No Claim,939.5857418478606,0.0
POL-0000009,Wisconsin,La Crosse,5451034.179835496,-10142904.201099604,81559.0,64,Single_Family,80.534351145,2220,77932779,1000,2024,0,0,2024,0,Very High,$1.5K-$2.5K,0,No Claim,955.538677521794,0.0
POL-0000010,North Dakota,Burke,6239557.265924886,-11412265.958481962,577370.0,39,Single_Family,1.04961832061,1761,502527469,5000,2018,0,0,2024,6,Very Low,$1.5K-$2.5K,0,No Claim,870.3733637009196,0.0
POL-0000011,Alabama,Fayette,3991455.785144755,-9767047.464101564,328412.0,55,Single_Family,38.1679389313,2348,273601734,5000,2015,0,0,2024,9,Low,$1.5K-$2.5K,0,No Claim,833.1051666808764,0.0
POL-0000012,Texas,Navarro,3769506.019953618,-10739263.437799957,288946.0,53,Commercial,75.2544529262,2720,237615684,10000,2018,0,0,2024,6,High,$2.5K-$3.5K,0,No Claim,822.3532563177895,0.0
POL-0000013,Georgia,Franklin,4079334.407817817,-9265016.61187934,112983.0,54,Multi_Family,33.0788804071,1440,92647641,10000,2021,1,16391,2024,3,Low,< $1.5K,1,Has Claim,820.0139932556225,2.276527777777778
POL-0000014,Texas,Wood,3867013.773201598,-10617887.671521606,281962.0,21,Single_Family,63.2315521628,1071,281491984,10000,2015,1,23210,2024,9,High,< $1.5K,1,Has Claim,998.3330519715423,4.334267040149393
POL-0000015,Kentucky,Leslie,4452255.12531524,-9281947.35001428,353351.0,47,Single_Family,31.7111959288,1377,327356246,500,2022,0,0,2024,2,Low,< $1.5K,0,No Claim,926.4336198284425,0.0
POL-0000016,Texas,Bee,3301738.300216061,-10880514.689423503,152613.0,39,Single_Family,62.6908396947,1283,127535243,5000,2020,0,0,2024,4,High,< $1.5K,0,No Claim,835.6774521174474,0.0
POL-0000017,Indiana,Scott,4676673.235865952,-9545365.444459517,322959.0,48,Multi_Family,22.2646310433,819,273370462,500,2020,1,35556,2024,4,Low,< $1.5K,1,Has Claim,846.4556243981434,5.0
POL-0000018,Virginia,Bland,4457816.749337105,-9031367.872899786,161419.0,20,Single_Family,13.0407124682,1023,160341481,500,2020,0,0,2024,4,Very Low,< $1.5K,0,No Claim,993.3247077481585,0.0
POL-0000019,Texas,Lampasas,3658283.430011897,-10936190.48335198,122720.0,43,Single_Family,29.9300254453,500,98709110,500,2023,1,68309,2024,1,Low,< $1.5K,1,Has Claim,804.3441166883963,5.0
POL-0000020,Louisiana,Tensas,3763579.085773297,-10167927.116386777,70945.0,68,Single_Family,14.5038167939,780,65914937,2500,2024,0,0,2024,0,Very Low,< $1.5K,0,No Claim,929.0991190358728,0.0
POL-0000021,Illinois,Henderson,4985600.289712461,-10121731.358975766,236685.0,64,Single_Family,17.5254452926,1853,209278094,2500,2018,0,0,2024,6,Very Low,$1.5K-$2.5K,0,No Claim,884.2051418552084,0.0
POL-0000022,Kansas,Greeley,4647582.559413114,-11332990.550213369,253479.0,28,Commercial,1.97201017812,500,236289593,2500,2024,2,128639,2024,0,Very Low,< $1.5K,1,Has Claim,932.1860706409605,5.0
POL-0000023,Georgia,Coweta,3942316.854092613,-9435820.44981036,237127.0,30,Commercial,65.6170483461,1879,209973663,2500,2020,0,0,2024,4,High,$1.5K-$2.5K,0,No Claim,885.4903195334145,0.0
POL-0000024,Virginia,Lee,4398144.154235569,-9253820.963945288,225906.0,37,Single_Family,57.3155216285,1523,181142573,1000,2022,1,10015,2024,2,Moderate,$1.5K-$2.5K,1,Has Claim,801.84932228449,1.3151674326986211
POL-0000025,Minnesota,Chippewa,5625074.040142443,-10638444.01441218,585500.0,39,Multi_Family,36.9910941476,1456,540712615,2500,2020,0,0,2024,4,Low,< $1.5K,0,No Claim,923.5057472245944,0.0
POL-0000026,Kentucky,Lawrence,4589045.019171468,-9209993.276158938,433410.0,43,Single_Family,53.2760814249,2016,348161188,2500,2019,0,0,2024,5,Moderate,$1.5K-$2.5K,0,No Claim,803.3067718788215,0.0
POL-0000027,Kentucky,Clay,4461418.583678845,-9319078.65668533,475272.0,56,Commercial,67.1437659033,1652,463409226,2500,2023,0,0,2024,1,High,$1.5K-$2.5K,0,No Claim,975.0400318133616,0.0
POL-0000028,Nebraska,Antelope,5187598.870019107,-10916735.6753602,116333.0,22,Single_Family,19.465648855,927,115312829,10000,2020,0,0,2024,4,Very Low,< $1.5K,0,No Claim,991.230596649274,0.0
POL-0000029,New York,Niagara,5342647.080464623,-8765576.243885165,132805.0,14,Multi_Family,83.3651399491,1508,117007141,10000,2024,1,21736,2024,0,Very High,$1.5K-$2.5K,1,Has Claim,881.0446971123075,2.882758620689655
POL-0000030,Ohio,Guernsey,4873538.520404665,-9071896.403125456,190332.0,41,Multi_Family,37.5,1260,167678648,5000,2016,0,0,2024,8,Low,< $1.5K,0,No Claim,880.9798037114095,0.0
POL-0000031,New Jersey,Union,4962340.731695671,-8272171.508156502,339287.0,32,Single_Family,95.4834605598,1582,313387190,5000,2020,0,0,2024,4,Very High,$1.5K-$2.5K,0,No Claim,923.6640071679728,0.0
POL-0000032,California,Kern,4210737.214363638,-13217023.019512368,672560.0,56,Single_Family,98.8867684478,5303,600552983,2500,2024,0,0,2024,0,Very High,> $5K,0,No Claim,892.9359209587249,0.0
POL-0000033,Puerto Rico,Manatí,2086816.5408324827,-7401657.240385064,357732.0,57,Commercial,0.0,746,287424057,500,2015,0,0,2024,9,,< $1.5K,0,No Claim,803.4619687363725,0.0
POL-0000034,Wyoming,Goshen,5174487.014746191,-11616554.67253912,296548.0,24,Single_Family,28.4669211196,1190,238266150,1000,2018,2,146826,2024,6,Low,< $1.5K,1,Has Claim,803.4657121275477,5.0
POL-0000035,Tennessee,Wayne,4196579.598608981,-9772518.66619648,188620.0,35,Multi_Family,42.9707379135,1699,180660092,10000,2023,2,9498,2024,1,Moderate,$1.5K-$2.5K,1,Has Claim,957.79923656028,1.1180694526191877
POL-0000036,Mississippi,Lowndes,3958277.919295957,-9845458.29870403,109866.0,32,Multi_Family,80.9160305344,1438,92457860,2500,2016,0,0,2024,8,Very High,< $1.5K,0,No Claim,841.5511623250142,0.0
POL-0000037,Illinois,Perry,4591280.193765773,-9948292.722575815,2060157.0,40,Single_Family,72.0737913486,4929,1824172946,1000,2022,1,18317,2024,2,High,$3.5K-$5K,1,Has Claim,885.4533639911909,0.7432339216879692
POL-0000038,South Dakota,Roberts,5721357.671703394,-10791990.45561968,372253.0,29,Single_Family,37.786259542,968,332968668,1000,2023,1,44472,2024,1,Low,< $1.5K,1,Has Claim,894.4687296005674,5.0
POL-0000039,New York,Rensselaer,5268160.555251002,-8183055.274889603,537142.0,61,Single_Family,82.1564885496,1627,452922947,5000,2024,1,538,2024,0,Very High,$1.5K-$2.5K,1,Has Claim,843.2089596419569,0.0661339889366933
POL-0000040,Michigan,Macomb,5265842.073817499,-9231988.276977316,247564.0,73,Single_Family,96.6603053435,2163,238729307,500,2018,2,24503,2024,6,Very High,$1.5K-$2.5K,1,Has Claim,964.3134987316411,2.265649560795192
POL-0000041,Colorado,Pueblo,4604067.5273601785,-11634322.70895234,75949.0,52,Multi_Family,82.5063613232,2588,64258419,10000,2017,1,18663,2024,7,Very High,$2.5K-$3.5K,1,Has Claim,846.0732728541522,1.4422720247295209
POL-0000042,Michigan,Lenawee,5145317.049331441,-9358225.30971494,301664.0,55,Multi_Family,69.9427480916,1842,274701372,1000,2015,0,0,2024,9,High,$1.5K-$2.5K,0,No Claim,910.6203325554259,0.0
POL-0000043,North Dakota,Barnes,5931795.572351388,-10917280.175044322,77828.0,5,Commercial,45.8969465649,1233,67700356,500,2015,3,66812,2024,9,Moderate,< $1.5K,1,Has Claim,869.8714601428792,5.0
POL-0000044,Kansas,Stevens,4465984.547705046,-11278007.536852926,211892.0,25,Single_Family,40.0445292621,813,187163092,10000,2019,1,15878,2024,5,Moderate,< $1.5K,1,Has Claim,883.294753931248,3.9060270602706026
POL-0000045,Missouri,Marion,4837807.209447256,-10199355.717588631,183192.0,59,Single_Family,47.868956743,820,160146673,10000,2015,0,0,2024,9,Moderate,< $1.5K,0,No Claim,874.2012369535788,0.0
POL-0000046,Colorado,Park,4738946.3654031465,-11768398.9485022,501755.0,20,Multi_Family,22.2010178117,1028,480115221,500,2022,1,135860,2024,2,Low,< $1.5K,1,Has Claim,956.871821905113,5.0
POL-0000047,Texas,Bell,3637629.5590166273,-10851285.193630245,290665.0,50,Single_Family,91.1259541985,2915,245172685,2500,2016,0,0,2024,8,Very High,$2.5K-$3.5K,0,No Claim,843.488844546127,0.0
POL-0000048,North Carolina,Polk,4201908.8510873895,-9147088.50375296,248825.0,17,Single_Family,36.927480916,1980,208756295,5000,2016,0,0,2024,8,Low,$1.5K-$2.5K,0,No Claim,838.9683311564353,0.0
POL-0000049,Connecticut,Greater Bridgeport,5048385.102167355,-8152177.519898069,191063.0,59,Multi_Family,91.762086514,3154,158656458,10000,2015,0,0,2024,9,Very High,$2.5K-$3.5K,0,No Claim,830.3881860956857,0.0
POL-0000050,Kentucky,Morgan,4568470.938177675,-9268337.684262406,261281.0,73,Multi_Family,22.0737913486,1186,229042936,5000,2016,0,0,2024,8,Low,< $1.5K,0,No Claim,876.6153528193784,0.0
POL-0000051,Missouri,Cape Girardeau,4492814.165850849,-9983624.465092467,500274.0,1,Single_Family,85.6870229008,2034,456110241,10000,2021,0,0,2024,3,Very High,$1.5K-$2.5K,0,No Claim,911.7208589692848,0.0
POL-0000052,Pennsylvania,Lebanon,4919474.1311905775,-8511238.579606332,373320.0,61,Single_Family,79.8982188295,3020,329471047,10000,2022,1,152788,2024,2,High,$2.5K-$3.5K,1,Has Claim,882.5432524375871,5.0
POL-0000053,Colorado,Ouray,4601454.119271699,-11996837.554798188,232800.0,26,Single_Family,17.7162849873,961,194400249,2500,2024,0,0,2024,0,Very Low,< $1.5K,0,No Claim,835.0526159793815,0.0
POL-0000054,Minnesota,Hubbard,5959967.371019333,-10566073.555278918,215633.0,45,Single_Family,35.1781170483,1645,177161277,2500,2018,0,0,2024,6,Low,$1.5K-$2.5K,0,No Claim,821.5870344520551,0.0
POL-0000055,Colorado,Custer,4594817.86516641,-11729459.289285349,224338.0,18,Single_Family,3.91221374046,500,220624465,1000,2016,0,0,2024,8,Very Low,< $1.5K,0,No Claim,983.4466965025988,0.0
POL-0000056,Alaska,Copper River,8836608.58701455,-16028062.570210423,948149.0,6,Single_Family,39.9491094148,2317,870509054,2500,2018,4,54303,2024,6,Low,$1.5K-$2.5K,1,Has Claim,918.1141930224047,4.687354337505395
POL-0000057,Minnesota,Big Stone,5688901.3409344265,-10732438.293918286,117785.0,73,Single_Family,8.52417302799,913,95451540,5000,2021,1,14655,2024,3,Very Low,< $1.5K,1,Has Claim,810.3879101753195,3.2102957283680174
POL-0000058,Florida,Polk,3242596.8259583274,-9094561.341951923,364235.0,51,Single_Family,96.5330788804,2841,292516268,2500,2018,0,0,2024,6,Very High,$2.5K-$3.5K,0,No Claim,803.0976375142421,0.0
POL-0000059,Texas,Liberty,3523104.9166707406,-10554460.165880956,417870.0,27,Single_Family,79.5165394402,2829,374327575,10000,2018,0,0,2024,6,High,$2.5K-$3.5K,0,No Claim,895.7991121640702,0.0
